"Reasoner","Maintenance","Is usable","Latest version","License","Website","Code-Repository","Documentation","usable via"
"AllegroGraph","maintained","usable","7.3.1","Proprietary","https://allegrograph.com/products/allegrograph/","Only repositories with client code found: https://github.com/franzinc?tab=repositories&q=agraph","https://franz.com/agraph/support/documentation/current/agraph-introduction.html","REST,Clients"
"Arachne","maintained","usable","1.2.1","BSD-3-Clause",,"https://github.com/balhoff/arachne",,"CLI via Jar-File"
"BaseVISor","maintained","usable","2.0.2","For academic and research use free of charge; all other uses require a commercial license","https://vistology.com/products/basevisor/",,"API documentation and usage information provided via ZIP file (which contains Jar files).","CLI via Jar-File,Java API"
"BORN","maintained","usable","0.4.1","Apache-2.0","https://julianmendez.github.io/born/","https://github.com/de-tu-dresden-inf-lat/born",,"CLI via Jar-File,Protégé-Plugin"
"Bossam","abandoned","no files available to try","Information not available","Information not available","https://bossam.wordpress.com/",,,
"CB (Consequence-based reasoner)","abandoned","no, compilation failed","Information not available","LGPL-2.1","https://www.cs.ox.ac.uk/isg/tools/CB/","https://github.com/ykazakov/cb-reasoner",,"CLI,Protégé-Plugin"
"CEL","maintained","usable","0.6.0","Apache-2.0","https://julianmendez.github.io/cel/","https://github.com/julianmendez/cel",,"CLI via Jar-File,Protégé-Plugin"
"Cerebra Engine","abandoned","no files available to try","Information not available","Information not available",,,,
"CICLOP","abandoned","no files available to try","Information not available","Information not available",,,,
"Clipper","abandoned","usable","0.3.0","Apache-2.0","http://www.kr.tuwien.ac.at/research/systems/clipper/index.html","https://github.com/ghxiao/clipper",,"Jar-File,Java API?"
"DB-OWL","abandoned","no files available to try","Information not available","Information not available",,,,
"Deslog","abandoned","usable","0.3911","GPL-3",,"https://code.google.com/archive/p/deslog/",,"CLI via Jar-File"
"DistEL","abandoned","no, missing info about how to compile it","Information not available","Information not available",,"https://github.com/raghavam/DistEL",,
"DLP","abandoned","no files available to try","Information not available","Information not available","https://www.bell-labs.com/user/pfps/dlp/",,,
"DReW","abandoned","no, DLV required, but not available","0.3-beta3","Apache-2.0",,"https://github.com/ghxiao/drew",,"CLI via Jar-File"
"ElepHant","maintained","usable","0.5.9","Apache-2.0","https://www.informatik.fb2.frankfurt-university.de/~sertkaya/software.html","https://github.com/sertkaya/elephant-reasoner",,"CLI"
"ELK","maintained","usable","0.4.3","Apache-2.0",,"https://github.com/liveontologies/elk-reasoner/","https://github.com/liveontologies/elk-reasoner/wiki","CLI via Jar-File,Protégé-Plugin"
"ELLY","abandoned","no, jar files seem broken","0.10","GPL-2,LGPL-2","https://elly.sourceforge.net/","https://sourceforge.net/p/elly/code/HEAD/tree/",,"CLI via Jar-File?"
"Expressive Reasoning Graph Store (IBM)","maintained","usable","Information not available","Apache-2.0",,"https://github.com/IBM/expressive-reasoning-graph-store",,"Web Application via Docker or Maven"
"EYE","maintained","usable","10.7.2","MIT","https://eyereasoner.github.io/eye/","https://github.com/eyereasoner/eye",,"CLI"
"EYE.js","maintained","usable","16.4.3","MIT",,"https://github.com/eyereasoner/eye-js",,"Node.js,JavaScript"
"F-OWL","abandoned","no files available to try","Information not available","Information not available",,,,
"FaCT++","abandoned","usable","1.6.4","LGPL-3","http://owl.man.ac.uk/factplusplus/","http://owl.cs.manchester.ac.uk/tools/fact/ ","https://bitbucket.org/dtsarkov/factplusplus/src/master/","CLI via Jar-File,Protégé-Plugin"
"Flower","abandoned","no, Maven build failed","Information not available","Information not available",,"https://github.com/attalos/fl0wer",,"CLI,Java API"
"fuzzyDL","abandoned","not tried, because Protégé 4.3 didn‘t run","2.3","Information not available","https://www.umbertostraccia.it/cs/software/fuzzyDL/fuzzyDL.html,https://www.umbertostraccia.it/cs/software/FuzzyOWL/index.html",,,"CLI,Protégé-Plugin"
"HAM-ALC","abandoned","no files available to try","Information not available","Information not available","https://kogs-www.informatik.uni-hamburg.de/publikationen/pub-haarslev/DL-98b.pdf",,,
"HermiT","abandoned","usable","1.3.8","LGPL-3 or later",,"https://github.com/phillord/hermit-reasoner,https://github.com/rvcx/hermit",,"CLI via Jar-File?,Protégé-Plugin"
"HS-Reasoner","abandoned","not tried, no knowledge about Haskell","Information not available","BSD-3-Clause",,"https://github.com/agnantis/hs-reasoner",,
"jcel","maintained","usable","0.24.0","Apache 2.0,LGPL-3","https://julianmendez.github.io/jcel/ ","https://github.com/julianmendez/jcel","https://julianmendez.github.io/jcel/","CLI via Jar-File,Protégé-Plugin"
"JFact","maintained","usable","4.0.2","Information not available","https://jfact.sourceforge.net/","https://github.com/owlcs/jfact",,"Jar-File,Protégé-Plugin"
"KAON2","abandoned","usable","Information not available","Information not available","http://kaon2.semanticweb.org/",,,"Jar-File,Java API?"
"Konclude","maintained","usable","0.7.0","LGPL-3","https://www.derivo.de/en/produkte/konclude.html","https://github.com/konclude/Konclude",,"CLI"
"leanCoR","abandoned","no, SWI setup in Ubuntu 20.04. failed","0.2","Information not available","http://www.leancor.org/","https://github.com/adrianomelo/leancor",,"CLI?"
