Systems using foreign reasoners,Maintenance,Is usable,Website,Code-Repository,Useable via
AberOWL,maintained,usable,http://aber-owl.net/about/,https://github.com/bio-ontology-research-group/AberOWL,
BUNDLE,maintained,usable,https://ml.unife.it/bundle/,https://bitbucket.org/machinelearningunife/bundle/,"CLI via Jar-File?,Library,Docker"
Chainsaw,maintained,"not tried, because custom Java project required",,https://bitbucket.org/ignazio1977/chainsaw/src/master/,Java API
ComR,abandoned,no files to try available,,,
COROR,abandoned,no files to try available,,,
DLEJena,abandoned,no files to try available,,,
DRAOn,abandoned,no files to try available,http://iddl.gforge.inria.fr/,,
ELOG,abandoned,usable,,https://code.google.com/archive/p/elog-reasoner/,CLI via Jar-File
Hoolet ,abandoned,usable,http://owl.man.ac.uk/hoolet/,,
HydrOWL,abandoned,no files to try available,http://www.image.ece.ntua.gr/~gstoil/hydrowl/,,"Jar-File?,Java API?"
HyLAR,maintained,useable,,https://github.com/ucbl/HyLAR-Reasoner,JavaScript-Library
Minerva,abandoned,no files to try available,,,
MORe,abandoned,"not tried, because custom Java project required",,https://github.com/anaphylactic/MORe,Java API
NoHR,abandoned,useable,https://nohr.di.fct.unl.pt/index.html,https://github.com/NoHRReasoner/NoHR,"Protégé-Plugin,Java-API"
PAGOdA,maintained,useable,https://www.cs.ox.ac.uk/isg/tools/PAGOdA/,https://github.com/KRR-Oxford/PAGOdA,"Jar-File,Java API"
PROSE,abandoned,no files to try available,,,
R2O2*,abandoned,"no, compilation failed",,https://github.com/liyuanfang/r2o2-star,Java API?
REQUIEM,abandoned,"yes, Docker container was tried",https://www.cs.ox.ac.uk/isg/tools/Requiem/,,Eclipse Plugin
RuQAR,abandoned,no files to try available,,,
Screech,abandoned,no files to try available,,,
TrOWL,abandoned,"not tried, I assume custom Java project is required",,https://github.com/TrOWL/core,"Jar-File?,Java API?"
WSClassifier (and WSReasoner),abandoned,"not tried, because it uses to various Google Drive folders",,https://code.google.com/archive/p/wsclassifier/,"Jar-File,Java API?"
